pitcher,year,pitcher.hand,count.coors,mean.pfx_x.coors,mean.pfx_z.coors,mean.displacement.coors,count.other,mean.pfx_x.other,mean.pfx_z.other,mean.displacement.other
448179,2018,L,105,-0.801444762,1.237424762,1.474290931,821,-0.827283557,1.513143484,1.724529294
450203,2018,R,42,-0.79337619,0.901935714,1.2012218,463,-1.176413823,1.06889892,1.589495009
451584,2018,R,248,-0.09681129,1.1191125,1.123292132,173,-0.148550867,1.40660289,1.414425343
458677,2018,L,28,-0.298407143,1.420946429,1.451942002,470,-0.392552979,1.554504255,1.603303253
459429,2018,L,363,-0.7950427,1.12134022,1.374589679,251,-0.8665328,1.32694,1.584818241
475115,2018,R,41,-0.050897561,0.758541463,0.76024714,676,-0.154614497,0.999303107,1.011193523
477132,2018,L,36,-0.066802778,1.42715,1.428712614,662,0.069958157,1.594133535,1.595667845
493200,2018,R,89,-0.39315618,1.178492135,1.242342744,290,-0.479741724,1.46211,1.538804008
500779,2018,L,36,-0.372625,1.204016667,1.260359284,995,-0.41975598,1.302211357,1.368192055
502042,2018,R,29,-0.36607931,1.162489655,1.218768337,414,-0.493630676,1.478185024,1.558429405
518452,2018,R,409,-0.227800489,0.852508802,0.882419583,114,-0.308558772,1.127233333,1.168701632
518774,2018,R,29,-0.646331034,0.986417241,1.179306059,379,-0.89092533,1.251370976,1.536124104
520980,2018,R,28,-0.446564286,1.201721429,1.282011721,169,-0.526515385,1.512411243,1.601438796
542881,2018,L,613,-0.605747876,1.273837745,1.410529365,297,-0.707687542,1.511359259,1.668840456
543037,2018,R,71,-0.730164789,1.173138028,1.381808037,1044,-0.946187069,1.46492567,1.743925798
544931,2018,R,49,-0.491010204,0.996432653,1.110841597,445,-0.73929236,1.261989663,1.462590545
548389,2018,R,38,-0.119457895,1.182005263,1.188026359,484,-0.24888595,1.467207025,1.488166882
570663,2018,R,25,-0.938988,1.103928,1.449260326,442,-1.103432805,1.372613801,1.761145253
571578,2018,L,39,-0.479664103,1.023966667,1.1307455,365,-0.643875068,1.326614247,1.47461197
571863,2018,R,67,-0.679977612,0.951659701,1.169626325,184,-0.93405,1.262173913,1.570201385
571945,2018,R,29,-0.33332069,0.862493103,0.924660498,495,-0.389191919,1.130500808,1.195618011
571951,2018,R,44,-0.629536364,0.967275,1.154095732,340,-1.062251765,1.205595,1.606809919
572362,2018,L,45,-0.440386667,1.262208889,1.33682897,327,-0.46831315,1.438849235,1.513143856
572955,2018,R,32,-0.638690625,1.1419,1.308381185,184,-0.951840217,1.420621739,1.710019276
592351,2018,R,696,-0.630262213,0.969205172,1.156109477,438,-0.759392694,1.228944977,1.444639409
592662,2018,L,56,-0.575685714,1.126071429,1.264693996,904,-0.778706416,1.442681969,1.639425188
592791,2018,R,31,-0.222945161,0.925406452,0.95188321,662,-0.287203927,1.258393958,1.29075228
592826,2018,R,33,-0.278527273,1.167375758,1.200143159,792,-0.35,1.391830177,1.435162444
592865,2018,R,26,-0.312011538,0.811592308,0.869501739,374,-0.521341711,0.991292781,1.120026141
593423,2018,R,28,-0.335128571,0.947485714,1.005007631,128,-0.486446875,1.260640625,1.35123845
594027,2018,R,31,-0.64313871,1.032154839,1.216129521,523,-0.845000956,1.2796,1.533428438
594798,2018,R,46,-0.24266087,1.075102174,1.102147441,902,-0.353038359,1.300573836,1.347638077
596295,2018,L,46,-0.545473913,1.143793478,1.267203737,550,-0.693433273,1.383890364,1.54790253
601713,2018,R,52,-0.599409615,1.199055769,1.340532217,929,-0.724635737,1.446473412,1.617832588
605151,2018,R,39,-0.472961538,1.077366667,1.176610195,507,-0.683541815,1.371601578,1.532488271
605397,2018,R,32,-0.2710375,0.843296875,0.885782674,468,-0.382305983,1.10702906,1.171183676
605446,2018,R,86,-0.266554651,1.081023256,1.113401393,608,-0.394593914,1.35142648,1.407855777
605498,2018,L,141,-0.74688156,1.059268085,1.296102211,881,-0.88885403,1.286603178,1.563780427
605540,2018,R,52,-0.426065385,0.999169231,1.086218608,201,-0.822780597,1.159745274,1.42196238
606625,2018,R,28,-0.183889286,1.027296429,1.043625039,305,-0.294343934,1.323687213,1.356018506
607536,2018,L,634,-0.499865615,0.839693849,0.977216144,413,-0.627586683,1.06319661,1.234606041
607625,2018,R,26,-0.478869231,1.154688462,1.250048472,297,-0.634603704,1.33880303,1.481592189
608566,2018,R,682,-0.392641642,1.038665249,1.110402161,474,-0.596028903,1.26004789,1.393904996
608717,2018,R,41,-0.148956098,0.912778049,0.924852251,629,-0.277615898,1.203641653,1.235242412
608718,2018,L,57,0.008819298,0.91337193,0.913414507,531,-0.066366855,1.172210358,1.174087596
611093,2018,R,32,-0.267359375,0.993325,1.028676621,154,-0.374213636,1.344657792,1.39575801
612672,2018,L,38,-0.502384211,1.198378947,1.299423717,861,-0.481104413,1.456711498,1.534102293
621111,2018,R,156,-0.272682692,1.236035256,1.265756298,473,-0.339280973,1.544390063,1.581218595
622608,2018,R,468,-0.30266859,0.838780128,0.891717656,388,-0.435722423,1.07694768,1.16175313
623149,2018,R,30,-0.796963333,0.92798,1.223232372,318,-1.041188679,1.093880189,1.510181358
623184,2018,R,250,-0.0919444,0.969286,0.973637059,161,-0.17297764,1.250570186,1.262476556
628317,2018,R,66,-0.40054697,1.08924697,1.160558846,422,-0.568172749,1.381677488,1.493938738
640455,2018,L,32,-0.94740625,0.760303125,1.214759007,759,-1.118760343,0.822155731,1.388367657
641778,2018,L,51,-0.650947059,1.166488235,1.335824418,857,-0.706739207,1.433912602,1.598619922
641816,2018,R,70,-0.783522857,1.01786,1.284502646,703,-0.961330014,1.217911238,1.551600199
642545,2018,R,39,-0.257253846,1.247238462,1.273492568,399,-0.513703008,1.557929073,1.640437068
642547,2018,R,90,-0.099476667,1.140014444,1.144346338,917,-0.285269029,1.406269902,1.434912351
656794,2018,L,49,-0.461014286,1.174108163,1.261373914,1203,-0.545119202,1.399543641,1.501957838
656798,2018,R,59,-0.753213559,0.985883051,1.240683705,351,-0.879974359,1.300995726,1.57065106
657571,2018,L,61,-0.765070492,1.125762295,1.361129532,532,-0.793096241,1.398800564,1.607993988
664208,2018,R,57,0.095615789,0.746338596,0.752438489,330,0.053106364,1.063290606,1.064615987
670950,2018,R,42,-0.471859524,1.103690476,1.200326654,907,-0.675657552,1.430644101,1.582168029
673633,2018,R,41,-0.602068293,1.159692683,1.306664972,360,-0.711010556,1.469965556,1.632891529
